Customer_ID,Customer_Name,Segment
CM-12715,Craig Molinari,Corporate
KT-16480,Kean Thornton,Consumer
PO-18850,Patrick OBrill,Consumer
CJ-12010,Caroline Jumper,Consumer
GM-14440,Gary McGarr,Consumer
KD-16495,Keith Dawkins,Corporate
DW-13585,Dorothy Wardle,Corporate
KH-16510,Keith Herrera,Consumer
EH-14005,Erica Hernandez,Home Office
TS-21340,Toby Swindell,Consumer
JK-16090,Juliana Krohn,Consumer
JR-16210,Justin Ritter,Corporate
JS-15595,Jill Stevenson,Corporate
PN-18775,Parhena Norris,Home Office
BT-11440,Bobby Trafton,Consumer
JB-16000,Joy Bell-,Consumer
RA-19915,Russell Applegate,Consumer
SG-20080,Sandra Glassco,Consumer
PF-19120,Peter Fuller,Consumer
GT-14710,Greg Tran,Consumer
MW-18220,Mitch Webber,Consumer
SB-20185,Sarah Brown,Consumer
MS-17365,Maribeth Schnelling,Consumer
CM-11935,Carlos Meador,Consumer
MH-18025,Michelle Huthwaite,Consumer
BD-11500,Bradley Drucker,Consumer
PW-19240,Pierre Wener,Consumer
JL-15505,Jeremy Lonsdale,Consumer
CV-12805,Cynthia Voltz,Corporate
MM-18055,Michelle Moray,Consumer
SN-20710,Steve Nguyen,Home Office
MP-17470,Mark Packer,Home Office
MK-17905,Michael Kennedy,Corporate
CL-11890,Carl Ludwig,Consumer
SC-20260,Scott Cohen,Corporate
TS-21430,Tom Stivers,Corporate
JO-15145,Jack OBriant,Corporate
NW-18400,Natalie Webber,Consumer
IL-15100,Ivan Liston,Consumer
DR-12880,Dan Reichenbach,Corporate
JK-16120,Julie Kriz,Home Office
SO-20335,Sean O Donnel,Consumer
JR-15670,Jim Radford,Consumer
PC-18745,Pamela Coakley,Corporate
AJ-10795,Anthony Johnson,Corporate
JK-15625,Jim Karlsson,Consumer
AS-10045,Aaron Smayling,Corporate
DS-13180,David Smith,Corporate
PP-18955,Paul Prost,Home Office
AG-10300,Aleksandra Gannaway,Corporate
GB-14530,George Bell,Corporate
SP-20860,Sung Pak,Corporate
HJ-14875,Heather Jas,Home Office
DK-12895,Dana Kaydos,Consumer
MA-17560,Matt Abelman,Home Office
CM-12190,Charlotte Melton,Consumer
HG-14845,Harry Greene,Consumer
BD-11605,Brian Dahlen,Consumer
GM-14680,Greg Matthias,Consumer
JM-15535,Jessica Myrick,Consumer
TP-21415,Tom Prescott,Consumer
CD-11920,Carlos Daly,Consumer
MP-18175,Mike Pelletier,Home Office
DP-13165,David Philippe,Consumer
AH-10465,Amy Hunt,Consumer
AS-10090,Adam Shillingsburg,Consumer
AS-10225,Alan Schoenberger,Corporate
NP-18670,Nora Paige,Consumer
TC-21535,Tracy Collins,Home Office
BS-11590,Brendan Sweed,Corporate
PO-18865,Patrick O Donnel,Consumer
BP-11185,Ben Peterman,Corporate
CS-12355,Christine Sundaresam,Consumer
KE-16420,Katrina Edelman,Corporate
AM-10705,Anne McFarland,Consumer
AP-10720,Anne Pryor,Home Office
IM-15070,Irene Maddox,Consumer
TB-21355,Todd Boyes,Corporate
JS-16030,Joy Smith,Consumer
JK-15730,Joe Kamberova,Consumer
BS-11380,Bill Stewart,Corporate
JG-15310,Jason Gross,Corporate
JF-15490,Jeremy Farry,Consumer
MY-18295,Muhammed Yedwab,Corporate
NC-18535,Nick Crebassa,Corporate
RB-19570,Rob Beeghly,Consumer
MG-17890,Michael Granlund,Home Office
DC-13285,Debra Catini,Consumer
CA-11965,Carol Adams,Corporate
HZ-14950,Henia Zydlo,Consumer
RP-19270,Rachel Payne,Corporate
KD-16345,Katherine Ducich,Consumer
LC-17050,Liz Carlisle,Consumer
JC-15775,John Castell,Consumer
AB-10015,Aaron Bergman,Consumer
RA-19285,Ralph Arnett,Consumer
MV-17485,Mark Van Huff,Consumer
CC-12670,Craig Carreira,Consumer
TB-21595,Troy Blackwell,Consumer
CB-12535,Claudia Bergmann,Corporate
JD-16150,Justin Deggeller,Corporate
BP-11095,Bart Pistole,Corporate
VT-21700,Valerie Takahito,Home Office
MH-17290,Marc Harrigan,Home Office
EK-13795,Eileen Kiefer,Home Office
MV-18190,Mike Vittorini,Consumer
TM-21010,Tamara Manning,Consumer
LT-17110,Liz Thompson,Consumer
DC-12850,Dan Campbell,Consumer
DL-13495,Dionis Lloyd,Corporate
CA-12265,Christina Anderson,Consumer
BM-11785,Bryan Mills,Consumer
MC-17275,Marc Crier,Consumer
BS-11755,Bruce Stewart,Consumer
JS-15880,John Stevenson,Consumer
OT-18730,Olvera Toch,Consumer
NP-18700,Nora Preis,Consumer
SH-19975,Sally Hughsby,Corporate
KL-16645,Ken Lonsdale,Consumer
LH-17020,Lisa Hazard,Consumer
DB-12970,Darren Budd,Corporate
AF-10885,Art Foster,Consumer
HR-14770,Hallie Redmond,Home Office
VW-21775,Victoria Wilson,Corporate
SW-20755,Steven Ward,Corporate
SC-20380,Shahid Collister,Consumer
EH-13765,Edward Hooks,Corporate
FA-14230,Frank Atkinson,Corporate
CB-12025,Cassandra Brandow,Consumer
PF-19165,Philip Fox,Consumer
NZ-18565,Nick Zandusky,Home Office
GH-14665,Greg Hansen,Consumer
BM-11575,Brendan Murry,Corporate
MP-17965,Michael Paige,Corporate
SW-20245,Scot Wooten,Consumer
AM-10360,Alice McCarthy,Corporate
TB-21520,Tracy Blumstein,Consumer
AG-10675,Anna Gayman,Consumer
MG-17680,Maureen Gastineau,Home Office
QJ-19255,Quincy Jones,Corporate
NF-18385,Natalie Fritzler,Consumer
TS-21610,Troy Staebel,Consumer
ZC-21910,Zuschuss Carroll,Consumer
DK-12835,Damala Kotsonis,Corporate
AD-10180,Alan Dominguez,Home Office
AH-10585,Angele Hood,Consumer
BC-11125,Becky Castell,Home Office
NP-18325,Naresj Patel,Consumer
SC-20095,Sanjit Chand,Consumer
SC-20575,Sonia Cooley,Consumer
CC-12430,Chuck Clark,Home Office
DV-13045,Darrin Van Huff,Corporate
JF-15295,Jason Fortune-,Consumer
HA-14920,Helen Andreada,Consumer
GH-14410,Gary Hansen,Home Office
TP-21565,Tracy Poddar,Corporate
AW-10930,Arthur Wiediger,Home Office
GB-14575,Giulietta Baptist,Consumer
DB-13210,Dean Braden,Consumer
FC-14335,Fred Chung,Corporate
NS-18505,Neola Schneider,Consumer
ND-18370,Natalie DeCherney,Consumer
JH-16180,Justin Hirsh,Consumer
RD-19930,Russell DAscenzo,Consumer
BP-11290,Beth Paige,Consumer
KN-16390,Katherine Nockton,Corporate
DG-13300,Deirdre Greer,Corporate
JE-16165,Justin Ellison,Corporate
Dl-13600,Dorris liebe,Corporate
TB-21175,Thomas Boland,Corporate
FP-14320,Frank Preis,Consumer
KF-16285,Karen Ferguson,Home Office
SP-20920,Susan Pistek,Consumer
TT-21070,Ted Trevino,Consumer
RB-19465,Rick Bensley,Home Office
ML-17410,Maris LaWare,Consumer
KL-16555,Kelly Lampkin,Corporate
LE-16810,Laurel Elliston,Consumer
LR-17035,Lisa Ryan,Corporate
FM-14380,Fred McMath,Consumer
CC-12145,Charles Crestani,Consumer
RD-19810,Ross DeVincentis,Home Office
SG-20470,Sheri Gordon,Consumer
BW-11200,Ben Wallace,Consumer
KB-16240,Karen Bern,Corporate
SB-20170,Sarah Bern,Consumer
RW-19540,Rick Wilson,Corporate
LC-16885,Lena Creighton,Consumer
SV-20785,Stewart Visinsky,Consumer
TZ-21580,Tracy Zic,Consumer
KT-16465,Kean Takahito,Consumer
GZ-14545,George Zrebassa,Corporate
EA-14035,Erin Ashbrook,Corporate
HA-14905,Helen Abelman,Consumer
TC-21295,Toby Carlisle,Consumer
KW-16435,Katrina Willman,Consumer
MO-17800,Meg OConnel,Home Office
BF-11020,Barry Französisch,Corporate
TD-20995,Tamara Dahlen,Consumer
TT-21220,Thomas Thornton,Consumer
TH-21550,Tracy Hopkins,Home Office
EB-14110,Eugene Barchas,Consumer
KM-16225,Kalyca Meade,Corporate
KH-16330,Katharine Harms,Corporate
DJ-13420,Denny Joy,Corporate
EH-14125,Eugene Hildebrand,Home Office
AJ-10945,Ashley Jarboe,Consumer
VF-21715,Vicky Freymann,Home Office
VP-21760,Victoria Pisteka,Corporate
PS-18760,Pamela Stobb,Consumer
BD-11320,Bill Donatelli,Consumer
CC-12370,Christopher Conant,Consumer
DE-13255,Deanra Eno,Home Office
KB-16585,Ken Black,Corporate
BS-11365,Bill Shonely,Corporate
SW-20455,Shaun Weien,Consumer
PS-18970,Paul Stevenson,Home Office
BD-11620,Brian DeCherney,Consumer
JC-16105,Julie Creighton,Corporate
LF-17185,Luke Foster,Consumer
EB-13870,Emily Burns,Consumer
LC-17140,Logan Currie,Consumer
CR-12625,Corey Roper,Home Office
LS-16975,Lindsay Shagiari,Home Office
TH-21235,Tiffany House,Corporate
PF-19225,Phillip Flathmann,Consumer
GG-14650,Greg Guthrie,Corporate
MY-17380,Maribeth Yedwab,Corporate
ME-18010,Michelle Ellison,Corporate
DJ-13510,Don Jones,Corporate
MA-17995,Michelle Arnett,Home Office
JW-15220,Jane Waco,Corporate
TW-21025,Tamara Willingham,Home Office
KH-16360,Katherine Hughes,Consumer
MC-17605,Matt Connell,Corporate
MH-17440,Mark Haberlin,Corporate
HR-14830,Harold Ryan,Corporate
CA-12775,Cynthia Arntzen,Consumer
MM-17260,Magdelene Morse,Consumer
JL-15175,James Lanier,Home Office
LA-16780,Laura Armstrong,Corporate
BF-11275,Beth Fritzler,Corporate
ES-14020,Erica Smith,Consumer
AH-10075,Adam Hart,Corporate
MH-18115,Mick Hernandez,Home Office
JD-15790,John Dryer,Consumer
CS-11950,Carlos Soltero,Consumer
DJ-13630,Doug Jacobs,Consumer
LS-17230,Lycoris Saunders,Consumer
BS-11665,Brian Stugart,Consumer
PK-19075,Pete Kriz,Consumer
EH-13990,Erica Hackney,Consumer
ME-17320,Maria Etezadi,Home Office
CL-12565,Clay Ludtke,Consumer
RM-19675,Robert Marley,Home Office
MB-17305,Maria Bertelson,Consumer
JF-15565,Jill Fjeld,Consumer
RP-19390,Resi Pölking,Consumer
JF-15355,Jay Fein,Consumer
SH-20635,Stefanie Holloman,Corporate
SF-20965,Sylvia Foulston,Corporate
KC-16675,Kimberly Carter,Corporate
GA-14515,George Ashbrook,Consumer
GZ-14470,Gary Zandusky,Consumer
MS-17710,Maurice Satty,Consumer
AF-10870,Art Ferguson,Consumer
MS-17770,Maxwell Schwartz,Consumer
BE-11455,Brad Eason,Home Office
AB-10165,Alan Barnes,Consumer
ED-13885,Emily Ducich,Home Office
BW-11110,Bart Watters,Corporate
SC-20305,Sean Christensen,Consumer
LW-17215,Luke Weiss,Consumer
RB-19705,Roger Barcio,Home Office
LC-16930,Linda Cazamias,Corporate
PV-18985,Paul Van Hugh,Home Office
RO-19780,Rose OBrian,Consumer
BO-11350,Bill Overfelt,Corporate
DL-12865,Dan Lawera,Consumer
PO-19180,Philisse Overcash,Home Office
HL-15040,Hunter Lopez,Consumer
LS-16945,Linda Southworth,Corporate
BB-11545,Brenda Bowman,Corporate
JD-15895,Jonathan Doherty,Corporate
TP-21130,Theone Pippenger,Consumer
RS-19420,Ricardo Sperren,Corporate
RB-19435,Richard Bierner,Consumer
AH-10120,Adrian Hane,Home Office
AS-10630,Ann Steele,Home Office
CM-12445,Chuck Magee,Consumer
AZ-10750,Annie Zypern,Consumer
AH-10030,Aaron Hawkins,Corporate
HK-14890,Heather Kirkland,Corporate
PW-19030,Pauline Webber,Corporate
NM-18445,Nathan Mautz,Home Office
FH-14275,Frank Hawley,Corporate
CC-12100,Chad Cunningham,Home Office
SJ-20215,Sarah Jordon,Consumer
TH-21100,Thea Hendricks,Consumer
HG-15025,Hunter Glantz,Consumer
KM-16720,Kunst Miller,Consumer
DK-12985,Darren Koutras,Consumer
AR-10825,Anthony Rawles,Corporate
AH-10195,Alan Haines,Corporate
JM-15865,John Murray,Consumer
SC-20725,Steven Cartwright,Consumer
SF-20065,Sandra Flanagan,Consumer
AR-10405,Allen Rosenblatt,Corporate
NL-18310,Nancy Lomonaco,Home Office
AY-10555,Andy Yotov,Corporate
TN-21040,Tanja Norvell,Home Office
BT-11395,Bill Tyler,Corporate
JG-15160,James Galang,Consumer
MM-18280,Muhammed MacIntyre,Corporate
JL-15835,John Lee,Consumer
FM-14215,Filia McAdams,Corporate
VS-21820,Vivek Sundaresam,Consumer
PO-19195,Phillina Ober,Home Office
TH-21115,Thea Hudgings,Corporate
AI-10855,Arianne Irving,Consumer
PG-18820,Patrick Gardner,Consumer
RD-19480,Rick Duston,Consumer
LH-17155,Logan Haushalter,Consumer
EG-13900,Emily Grady,Consumer
LW-16990,Lindsay Williams,Corporate
LB-16795,Laurel Beltran,Home Office
BV-11245,Benjamin Venier,Corporate
TG-21640,Trudy Glocke,Consumer
DP-13000,Darren Powers,Consumer
JK-15205,Jamie Kunitz,Consumer
CT-11995,Carol Triggs,Consumer
JB-15400,Jennifer Braxton,Corporate
BM-11140,Becky Martin,Consumer
SU-20665,Stephanie Ulpright,Home Office
SA-20830,Sue Ann Reed,Consumer
JF-15415,Jennifer Ferguson,Consumer
JM-15250,Janet Martin,Consumer
CK-12760,Cyma Kinney,Corporate
AH-10690,Anna Häberlin,Corporate
SJ-20125,Sanjit Jacobs,Home Office
NS-18640,Noel Staavos,Corporate
CC-12220,Chris Cortes,Consumer
AJ-10780,Anthony Jacobs,Corporate
DR-12940,Daniel Raglin,Home Office
AB-10600,Ann Blume,Corporate
EM-13810,Eleni McCrary,Corporate
JE-15610,Jim Epp,Corporate
AB-10060,Adam Bellavance,Home Office
PH-18790,Patricia Hirasaki,Home Office
AC-10615,Ann Chong,Corporate
CK-12325,Christine Kargatis,Home Office
MH-17455,Mark Hamilton,Consumer
BH-11710,Brosina Hoffman,Consumer
JD-16060,Julia Dunbar,Consumer
SR-20740,Steven Roelle,Home Office
DH-13075,Dave Hallsten,Corporate
DP-13105,Dave Poirier,Corporate
MC-18130,Mike Caudle,Corporate
BP-11155,Becky Pak,Consumer
BD-11635,Brian Derr,Consumer
NC-18415,Nathan Cano,Consumer
TC-21145,Theresa Coyne,Corporate
DK-13225,Dean Katz,Corporate
RR-19525,Rick Reed,Corporate
AC-10660,Anna Chung,Consumer
DW-13195,David Wiener,Corporate
RH-19600,Rob Haberlin,Consumer
EB-13750,Edward Becker,Corporate
WB-21850,William Brown,Consumer
EB-13705,Ed Braxton,Corporate
YS-21880,Yana Sorensen,Corporate
CS-12130,Chad Sievert,Consumer
CK-12205,Chloris Kastensmidt,Consumer
DO-13645,Doug OConnell,Consumer
CK-12595,Clytie Kelty,Consumer
EM-13825,Elizabeth Moffitt,Corporate
RC-19825,Roy Collins,Consumer
RD-19660,Robert Dilbeck,Home Office
TB-21055,Ted Butterfield,Consumer
EJ-13720,Ed Jacobs,Consumer
DM-13345,Denise Monton,Corporate
BT-11530,Bradley Talbott,Home Office
RR-19315,Ralph Ritter,Consumer
BT-11305,Beth Thompson,Home Office
LC-16960,Lindsay Castell,Home Office
DB-13660,Duane Benoit,Consumer
AR-10345,Alex Russell,Corporate
TB-21625,Trudy Brown,Consumer
DB-13060,Dave Brooks,Consumer
DW-13480,Dianna Wilson,Home Office
NF-18595,Nicole Fjeld,Home Office
SL-20155,Sara Luxemburg,Home Office
SC-20695,Steve Chapman,Corporate
DB-13270,Deborah Brumfield,Home Office
HP-14815,Harold Pawlan,Home Office
CL-12700,Craig Leslie,Home Office
TT-21460,Tonja Turnell,Home Office
SC-20770,Stewart Carmichael,Corporate
SD-20485,Shirley Daniels,Home Office
VD-21670,Valerie Dominguez,Consumer
RF-19345,Randy Ferguson,Corporate
TB-21190,Thomas Brumley,Home Office
MD-17350,Maribeth Dona,Consumer
CS-11845,Cari Sayre,Corporate
CR-12730,Craig Reiter,Consumer
MS-17980,Michael Stewart,Corporate
RF-19735,Roland Fjeld,Consumer
LS-17200,Luke Schmidt,Corporate
KB-16405,Katrina Bavinger,Home Office
AR-10540,Andy Reiter,Consumer
MC-18100,Mick Crebagga,Consumer
RH-19510,Rick Huthwaite,Home Office
LO-17170,Lori Olson,Corporate
CM-11815,Candace McMahon,Corporate
MM-17920,Michael Moore,Consumer
ON-18715,Odella Nelson,Corporate
LW-16825,Laurel Workman,Corporate
BG-11035,Barry Gonzalez,Consumer
BG-11695,Brooke Gillingham,Corporate
SP-20620,Stefania Perrino,Corporate
DK-13375,Dennis Kane,Consumer
JA-15970,Joseph Airdo,Consumer
EM-14140,Eugene Moren,Home Office
PM-18940,Paul MacIntyre,Consumer
SM-20950,Suzanne McNair,Corporate
CD-12280,Christina DeMoss,Consumer
PB-19150,Philip Brown,Consumer
MC-17425,Mark Cousins,Corporate
JP-16135,Julie Prescott,Home Office
DB-13360,Dennis Bolton,Home Office
FH-14365,Fred Hopkins,Corporate
EB-13840,Ellis Ballard,Corporate
CD-12790,Cynthia Delaney,Home Office
RB-19330,Randy Bradley,Consumer
SJ-20500,Shirley Jackson,Consumer
EB-13930,Eric Barreto,Consumer
LP-17080,Liz Pelletier,Consumer
NG-18355,Nat Gilpin,Corporate
LB-16735,Larry Blacks,Consumer
AT-10435,Alyssa Tate,Home Office
BN-11515,Bradley Nguyen,Consumer
SC-20440,Shaun Chance,Corporate
RB-19360,Raymond Buch,Consumer
JB-15925,Joni Blumstein,Consumer
PR-18880,Patrick Ryan,Consumer
JH-15820,John Huston,Consumer
PT-19090,Pete Takahito,Consumer
NB-18580,Nicole Brennan,Corporate
AB-10105,Adrian Barton,Consumer
EH-13945,Eric Hoffmann,Consumer
BT-11680,Brian Thompson,Consumer
BF-11170,Ben Ferrer,Home Office
NB-18655,Nona Balk,Corporate
MC-17590,Matt Collister,Corporate
SV-20935,Susan Vittorini,Consumer
MH-17785,Maya Herman,Corporate
RB-19645,Robert Barroso,Corporate
MR-17545,Mathew Reese,Home Office
MF-18250,Monica Federle,Corporate
JG-15115,Jack Garza,Consumer
KB-16600,Ken Brennan,Corporate
TA-21385,Tom Ashbrook,Home Office
DM-13525,Don Miller,Corporate
XP-21865,Xylona Preis,Consumer
DB-13405,Denny Blanton,Consumer
SM-20320,Sean Miller,Home Office
TC-21475,Tony Chapman,Home Office
KW-16570,Kelly Williams,Consumer
JL-15850,John Lucas,Consumer
AT-10735,Annie Thurman,Consumer
RD-19900,Ruben Dartt,Consumer
HM-14980,Henry MacAllister,Consumer
BP-11230,Benjamin Patterson,Consumer
JC-15340,Jasper Cacioppo,Consumer
JM-15265,Janet Molinari,Corporate
LD-17005,Lisa DeCherney,Consumer
JM-16195,Justin MacKendrick,Consumer
RB-19795,Ross Baird,Home Office
LR-16915,Lena Radford,Consumer
TB-21280,Toby Braunhardt,Consumer
BF-10975,Barbara Fisher,Corporate
DL-13330,Denise Leinenbach,Consumer
BG-11740,Bruce Geld,Consumer
CB-12415,Christy Brittain,Consumer
PG-18895,Paul Gonzalez,Consumer
DL-12925,Daniel Lacy,Consumer
SM-20005,Sally Matthias,Consumer
PM-19135,Peter McVee,Home Office
JB-16045,Julia Barnett,Home Office
SB-20290,Sean Braxton,Corporate
BE-11335,Bill Eplett,Home Office
PJ-19015,Pauline Johnson,Consumer
MF-17665,Maureen Fritzler,Corporate
SP-20650,Stephanie Phelps,Corporate
BT-11485,Brad Thomas,Home Office
ST-20530,Shui Tom,Consumer
HE-14800,Harold Engle,Corporate
NM-18520,Neoma Murray,Consumer
DL-13315,Delfina Latchford,Consumer
DB-13120,David Bremer,Corporate
Dp-13240,Dean percer,Home Office
MB-18085,Mick Brown,Consumer
LS-17245,Lynn Smith,Consumer
CM-12115,Chad McGuire,Consumer
SH-20395,Shahid Hopkins,Consumer
AA-10480,Andrew Allen,Consumer
Co-12640,Corey-Lock,Consumer
AG-10495,Andrew Gjertsen,Corporate
MD-17860,Michael Dominguez,Corporate
SS-20515,Shirley Schmidt,Home Office
MZ-17335,Maria Zettner,Home Office
JS-15940,Joni Sundaresam,Home Office
TS-21205,Thomas Seio,Corporate
SZ-20035,Sam Zeldin,Home Office
ML-17755,Max Ludwig,Home Office
MG-18145,Mike Gockenbach,Consumer
NC-18625,Noah Childs,Corporate
GM-14500,Gene McClure,Consumer
SV-20815,Stuart Van,Corporate
KB-16315,Karl Braun,Consumer
SE-20110,Sanjit Engle,Consumer
AS-10240,Alan Shonely,Consumer
BK-11260,Berenike Kampe,Consumer
TR-21325,Toby Ritter,Consumer
SM-20905,Susan MacKendrick,Consumer
RD-19585,Rob Dowd,Consumer
AB-10255,Alejandro Ballentine,Home Office
SS-20140,Saphhira Shifley,Corporate
KD-16270,Karen Daniels,Consumer
AB-10150,Aimee Bixby,Consumer
MC-17845,Michael Chen,Consumer
EJ-14155,Eva Jacobs,Consumer
CM-12235,Chris McAfee,Consumer
SN-20560,Skye Norling,Home Office
KC-16540,Kelly Collister,Consumer
GH-14425,Gary Hwang,Consumer
NP-18685,Nora Pelletier,Home Office
YC-21895,Yoseph Carroll,Corporate
CS-12250,Chris Selesnick,Corporate
AA-10315,Alex Avila,Consumer
GM-14455,Gary Mitchum,Home Office
EM-14065,Erin Mull,Consumer
SS-20410,Shahid Shariari,Consumer
CS-12460,Chuck Sachs,Consumer
RM-19750,Roland Murray,Consumer
MG-17875,Michael Grace,Home Office
AG-10390,Allen Goldenen,Consumer
JE-15475,Jeremy Ellison,Consumer
MS-17830,Melanie Seite,Consumer
KD-16615,Ken Dana,Corporate
SG-20605,Speros Goranitis,Consumer
MG-17650,Matthew Grinstein,Home Office
JC-15385,Jenna Caffey,Consumer
RC-19960,Ryan Crowe,Consumer
MS-17530,MaryBeth Skach,Consumer
PL-18925,Paul Lucas,Home Office
EC-14050,Erin Creighton,Consumer
PB-18805,Patrick Bzostek,Home Office
DK-13090,Dave Kipp,Consumer
AA-10375,Allen Armold,Consumer
CM-12655,Corinna Mitchell,Home Office
AS-10285,Alejandro Savely,Corporate
FC-14245,Frank Carlisle,Home Office
SW-20275,Scott Williamson,Consumer
SC-20680,Steve Carroll,Home Office
CD-11980,Carol Darley,Consumer
TS-21655,Trudy Schmidt,Consumer
MN-17935,Michael Nguyen,Consumer
GH-14485,Gene Hale,Corporate
AG-10270,Alejandro Grove,Consumer
BF-11005,Barry Franz,Home Office
JF-15190,Jamie Frazer,Consumer
SP-20545,Sibella Parks,Corporate
LC-16870,Lena Cacioppo,Consumer
GW-14605,Giulietta Weimer,Consumer
CS-12175,Charles Sheldon,Corporate
ZD-21925,Zuschuss Donatelli,Consumer
VB-21745,Victoria Brennan,Corporate
LW-17125,Liz Willingham,Consumer
JO-15280,Jas OCarroll,Consumer
MG-18205,Mitch Gastineau,Corporate
RA-19885,Ruben Ausman,Corporate
RS-19765,Roland Schwarz,Corporate
RA-19945,Ryan Akin,Consumer
HH-15010,Hilary Holden,Corporate
EL-13735,Ed Ludwig,Home Office
JH-15910,Jonathan Howell,Consumer
CS-12400,Christopher Schild,Home Office
FH-14350,Fred Harton,Consumer
RE-19450,Richard Eichhorn,Consumer
TM-21490,Tony Molinari,Consumer
DW-13540,Don Weiss,Consumer
JG-15805,John Grady,Corporate
MH-17620,Matt Hagelstein,Corporate
BF-11215,Benjamin Farhat,Home Office
NH-18610,Nicole Hansen,Corporate
ML-18040,Michelle Lonsdale,Corporate
BW-11065,Barry Weirich,Consumer
AS-10135,Adrian Shami,Home Office
AW-10840,Anthony Witt,Consumer
CY-12745,Craig Yedwab,Corporate
MZ-17515,Mary Zewe,Corporate
JP-15460,Jennifer Patt,Corporate
EB-14170,Evan Bailliet,Consumer
CV-12295,Christina VanderZanden,Consumer
AR-10570,Anemone Ratner,Consumer
RF-19840,Roy Französisch,Consumer
KM-16660,Khloe Miller,Consumer
CM-12385,Christopher Martinez,Consumer
HG-14965,Henry Goldwyn,Corporate
JH-15430,Jennifer Halladay,Consumer
DA-13450,Dianna Arnett,Home Office
SF-20200,Sarah Foster,Consumer
GM-14695,Greg Maxwell,Corporate
JH-15985,Joseph Holt,Consumer
RW-19630,Rob Williams,Corporate
DO-13435,Denny Ordway,Consumer
PS-19045,Penelope Sewall,Home Office
KN-16705,Kristina Nunn,Home Office
LM-17065,Liz MacKendrick,Consumer
DM-13015,Darrin Martin,Consumer
ES-14080,Erin Smith,Corporate
CR-12580,Clay Rozendal,Home Office
RK-19300,Ralph Kennedy,Consumer
JM-15655,Jim Mitchum,Corporate
GT-14755,Guy Thornton,Consumer
CA-12055,Cathy Armstrong,Home Office
CP-12340,Christine Phan,Corporate
ER-13855,Elpida Rittenbach,Corporate
CS-12490,Cindy Schnelling,Corporate
JK-15370,Jay Kimmel,Consumer
GK-14620,Grace Kelly,Corporate
CC-12475,Cindy Chapman,Consumer
RH-19495,Rick Hansen,Consumer
JL-15130,Jack Lebron,Consumer
AG-10330,Alex Grayson,Consumer
GT-14635,Grant Thornton,Corporate
JS-15685,Jim Sink,Corporate
LP-17095,Liz Preis,Consumer
SC-20230,Scot Coram,Corporate
AG-10525,Andy Gerbode,Corporate
PC-19000,Pauline Chand,Home Office
CA-12310,Christine Abelman,Corporate
AO-10810,Anthony O Donnel,Corporate
CM-12160,Charles McCrossin,Consumer
DF-13135,David Flashing,Consumer
FO-14305,Frank Olsen,Consumer
AC-10420,Alyssa Crouse,Corporate
ND-18460,Neil Ducich,Corporate
EM-14200,Evan Minnotte,Home Office
MT-17815,Meg Tillman,Consumer
SK-19990,Sally Knutson,Consumer
JO-15550,Jesus Ocampo,Home Office
RW-19690,Robert Waldorf,Consumer
IG-15085,Ivan Gibson,Consumer
DV-13465,Dianna Vittorini,Consumer
BF-11080,Bart Folk,Consumer
JK-15325,Jason Klamczynski,Corporate
KS-16300,Karen Seio,Corporate
JJ-15760,Joel Jenkins,Home Office
